Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/06/2024,AIS,000660 KS,6450267,SK Hynix Inc,185.000000,173000.000000,22618.37,3.57%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2332 TT,6254878,D-Link Corp,2552.000000,22.000000,1730.38,0.27%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2345 TT,6005214,Accton Technology Corp,207.000000,709.000000,4523.30,0.71%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2376 TT,6129181,Gigabyte Technology Co Ltd,1747.000000,281.500000,15156.89,2.39%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2382 TT,6141011,Quanta Computer Inc,797.000000,294.000000,7221.78,1.14%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2408 TT,6283601,Nanya Technology Corp,3040.000000,33.000000,3091.91,0.49%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,2451 TT,6350497,Transcend Information Inc,1597.000000,92.700000,4562.72,0.72%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,3231 TT,6672481,Wistron Corp,701.000000,117.000000,2527.80,0.40%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,3515 TT,B1FGXJ9,ASROCK Inc,196.000000,245.000000,1480.00,0.23%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,3704 TT,6103367,Zyxel Group Corp,1152.000000,41.850000,1485.89,0.23%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,5269 TT,B6ZZQ69,ASMedia Technology Inc,45.000000,1885.000000,2614.34,0.41%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,6531 TT,BWY5316,AP Memory Technology Corp,389.000000,318.500000,3818.54,0.60%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,6701 JP,6640400,NEC Corp,41.000000,12950.000000,3534.01,0.56%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,AAOI,03823U102,Applied Optoelectronics Inc,127.000000,34.480000,4378.96,0.69%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,AEIS,007973100,Advanced Energy Industries Inc,122.000000,114.700000,13993.40,2.21%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,AIP,04302A104,Arteris Inc,174.000000,8.870000,1543.38,0.24%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,AMD,007903107,Advanced Micro Devices Inc,171.000000,141.360000,24172.56,3.81%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,ANET,040413205,Arista Networks Inc,160.000000,106.830000,17092.80,2.69%,634382.500000,25000,1.000000000000,
12/06/2024,AIS,ATEN,002121101,A10 Networks Inc,98.000000,18.120000,1775.76,0.28%,634382.500000,25000,1.000000000000,
