Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/03/2024,AIS,000660 KS,6450267,SK Hynix Inc,185.000000,158800.000000,20952.11,3.35%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2332 TT,6254878,D-Link Corp,2552.000000,21.550000,1687.06,0.27%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2345 TT,6005214,Accton Technology Corp,207.000000,704.000000,4470.39,0.72%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2376 TT,6129181,Gigabyte Technology Co Ltd,1747.000000,273.500000,14657.25,2.35%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2382 TT,6141011,Quanta Computer Inc,797.000000,293.000000,7163.55,1.15%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2408 TT,6283601,Nanya Technology Corp,3040.000000,33.050000,3082.11,0.49%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,2451 TT,6350497,Transcend Information Inc,1597.000000,90.700000,4443.39,0.71%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,3231 TT,6672481,Wistron Corp,701.000000,114.000000,2451.46,0.39%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,3515 TT,B1FGXJ9,ASROCK Inc,196.000000,234.000000,1406.94,0.23%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,3704 TT,6103367,Zyxel Group Corp,1152.000000,42.150000,1489.54,0.24%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,5269 TT,B6ZZQ69,ASMedia Technology Inc,45.000000,1595.000000,2201.79,0.35%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,6531 TT,BWY5316,AP Memory Technology Corp,389.000000,303.500000,3621.69,0.58%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,6701 JP,6640400,NEC Corp,41.000000,13060.000000,3571.76,0.57%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,AAOI,03823U102,Applied Optoelectronics Inc,127.000000,40.740000,5173.98,0.83%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,AEIS,007973100,Advanced Energy Industries Inc,122.000000,118.700000,14481.40,2.32%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,AIP,04302A104,Arteris Inc,174.000000,8.610000,1498.14,0.24%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,AMD,007903107,Advanced Micro Devices Inc,171.000000,142.060000,24292.26,3.89%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,ANET,040413106,Arista Networks Inc,40.000000,410.100000,16404.00,2.63%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,ATEN,002121101,A10 Networks Inc,98.000000,17.500000,1715.00,0.27%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,AWE LN,BNDRMJ1,Alphawave IP Group PLC,1574.000000,1.318000,2619.82,0.42%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,BDC,077454106,Belden Inc,15.000000,123.910000,1858.65,0.30%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CDW,12514G108,CDW Corp/DE,8.000000,180.620000,1444.96,0.23%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CHKP,M22465104,Check Point Software Technologies Ltd,25.000000,182.180000,4554.50,0.73%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CIEN,171779309,Ciena Corp,49.000000,69.520000,3406.48,0.55%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CLS CN,BSCB6L9,Celestica Inc,27.000000,119.400000,2289.39,0.37%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,COMM,20337X109,CommScope Holding Co Inc,906.000000,4.860000,4403.16,0.70%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CRDO,G25457105,Credo Technology Group Holding Ltd,52.000000,47.800000,2485.60,0.40%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CSCO,17275R102,Cisco Systems Inc,253.000000,59.430000,15035.79,2.41%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,CVLT,204166102,Commvault Systems Inc,172.000000,170.850000,29386.20,4.70%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,DELL,24703L202,Dell Technologies Inc,116.000000,125.840000,14597.44,2.34%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,DGII,253798102,Digi International Inc,63.000000,33.480000,2109.24,0.34%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,DIOD,254543101,Diodes Inc,64.000000,66.010000,4224.64,0.68%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,EXTR,30226D106,Extreme Networks Inc,121.000000,17.510000,2118.71,0.34%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,FLEX,Y2573F102,Flex Ltd,87.000000,39.220000,3412.14,0.55%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,GFS,G39387108,GLOBALFOUNDRIES Inc,550.000000,45.120000,24816.00,3.97%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,GLW,219350105,Corning Inc,260.000000,49.240000,12802.40,2.05%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,HPE,42824C109,Hewlett Packard Enterprise Co,173.000000,21.250000,3676.25,0.59%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,INTC,458140100,Intel Corp,943.000000,23.930000,22565.99,3.61%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,JNPR,48203R104,Juniper Networks Inc,76.000000,35.620000,2707.12,0.43%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,LR FP,B11ZRK9,Legrand SA,226.000000,94.940000,22463.71,3.60%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,LSCC,518415104,Lattice Semiconductor Corp,23.000000,58.330000,1341.59,0.21%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,MRVL,573874104,MARVELL TECHNOLOGY INC,199.000000,96.860000,19275.14,3.08%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,MTRS SS,BZ04921,Munters Group AB,778.000000,179.000000,12628.84,2.02%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,MTSI,55405Y100,MACOM Technology Solutions Holdings Inc,24.000000,136.900000,3285.60,0.53%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,MU,595112103,Micron Technology Inc,219.000000,98.550000,21582.45,3.45%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,NTAP,64110D104,NetApp Inc,11.000000,123.290000,1356.19,0.22%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,NVDA,67066G104,NVIDIA Corp,105.000000,138.630000,14556.15,2.33%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,NVTS,63942X106,Navitas Semiconductor Corp,351.000000,3.020000,1060.02,0.17%,625025.000000,25001,1.000000000000,
