Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/03/2024,AIS,NXT AU,B5LMKP4,NEXTDC Ltd,122.000000,16.550000,1301.81,0.21%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,PANW,697435105,Palo Alto Networks Inc,16.000000,390.170000,6242.72,1.00%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,PENG,G8232Y101,Penguin Solutions Inc,238.000000,18.890000,4495.82,0.72%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,PSTG,74624M102,Pure Storage Inc,22.000000,53.040000,1166.88,0.19%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,RMBS,750917106,Rambus Inc,25.000000,58.870000,1471.75,0.24%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SIMO,82706C108,Silicon Motion Technology Corp,79.000000,53.950000,4262.05,0.68%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SMCI,86800U302,Super Micro Computer Inc,37.000000,42.000000,1554.00,0.25%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SMTC,816850101,Semtech Corp,59.000000,62.680000,3698.12,0.59%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SNX,87162W100,TD SYNNEX Corp,180.000000,122.110000,21979.80,3.52%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,STX,G7997R103,Seagate Technology Holdings PLC,25.000000,103.160000,2579.00,0.41%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SWKS,83088M102,Skyworks Solutions Inc,39.000000,87.790000,3423.81,0.55%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,SYNA,87157D109,Synaptics Inc,254.000000,81.260000,20640.04,3.30%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,TSEM IT,6320605,Tower Semiconductor Ltd,77.000000,172.200000,3631.82,0.58%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,172.000000,194.400000,33436.80,5.35%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,VICR,925815102,Vicor Corp,230.000000,57.690000,13268.70,2.12%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,VRT,92537N108,Vertiv Holdings Co,321.000000,127.012500,40771.01,6.53%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,WCC,95082P105,WESCO International Inc,21.000000,212.070000,4453.47,0.71%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,WDC,958102105,Western Digital Corp,61.000000,73.430000,4479.23,0.72%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,WOLF,977852102,Wolfspeed Inc,609.000000,11.100000,6759.90,1.08%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,ZS,98980G102,Zscaler Inc,19.000000,208.510000,3961.69,0.63%,625025.000000,25001,1.000000000000,
12/03/2024,AIS,Cash&Other,Cash&Other,Cash & Other,48423.330000,1.000000,48423.33,7.75%,625025.000000,25001,1.000000000000,Y
