Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/17/2024,AIS,000660 KS,6450267,SK Hynix Inc,185.000000,179300.000000,23116.94,3.67%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2332 TT,6254878,D-Link Corp,2552.000000,20.950000,1644.30,0.26%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2345 TT,6005214,Accton Technology Corp,207.000000,736.000000,4685.59,0.74%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2376 TT,6129181,Gigabyte Technology Co Ltd,1747.000000,260.000000,13969.55,2.22%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2382 TT,6141011,Quanta Computer Inc,797.000000,275.000000,6740.74,1.07%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2408 TT,6283601,Nanya Technology Corp,3040.000000,28.800000,2692.66,0.43%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,2451 TT,6350497,Transcend Information Inc,1597.000000,91.200000,4479.36,0.71%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,300454 C2,BHQPS70,Sangfor Technologies Inc,200.000000,62.020000,1703.31,0.27%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,3231 TT,6672481,Wistron Corp,701.000000,106.500000,2296.06,0.36%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,3515 TT,B1FGXJ9,ASROCK Inc,196.000000,239.000000,1440.69,0.23%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,3704 TT,6103367,Zyxel Group Corp,1152.000000,38.400000,1360.50,0.22%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,5269 TT,B6ZZQ69,ASMedia Technology Inc,45.000000,1890.000000,2615.72,0.42%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,601138 C1,BG20N99,Foxconn Industrial Internet Co Ltd,3200.000000,21.060000,9254.22,1.47%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,6531 TT,BWY5316,AP Memory Technology Corp,389.000000,309.500000,3702.77,0.59%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,6701 JP,6640400,NEC Corp,41.000000,12970.000000,3447.79,0.55%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,688008 C1,BK71F77,Montage Technology Co Ltd,700.000000,68.950000,6627.71,1.05%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,688041 C1,BQZDHW6,Hygon Information Technology Co Ltd,1700.000000,123.420000,28811.50,4.58%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,AAOI,03823U102,Applied Optoelectronics Inc,127.000000,35.090000,4456.43,0.71%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,AEIS,007973100,Advanced Energy Industries Inc,122.000000,122.720000,14971.84,2.38%,629137.500000,25000,1.000000000000,
