Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/17/2024,AIS,AIP,04302A104,Arteris Inc,174.000000,9.780000,1701.72,0.27%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,AMD,007903107,Advanced Micro Devices Inc,167.000000,126.690000,21157.23,3.36%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,ANET,040413205,Arista Networks Inc,166.000000,116.530000,19343.98,3.07%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,ATEN,002121101,A10 Networks Inc,98.000000,19.200000,1881.60,0.30%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,AWE LN,BNDRMJ1,Alphawave IP Group PLC,1574.000000,1.030000,2057.41,0.33%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,BDC,077454106,Belden Inc,15.000000,123.500000,1852.50,0.29%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CDW,12514G108,CDW Corp/DE,8.000000,177.790000,1422.32,0.23%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CHKP,M22465104,Check Point Software Technologies Ltd,25.000000,190.210000,4755.25,0.76%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CIEN,171779309,Ciena Corp,49.000000,91.140000,4465.86,0.71%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CLS CN,BSCB6L9,Celestica Inc,27.000000,141.070000,2676.66,0.43%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,COMM,20337X109,CommScope Holding Co Inc,906.000000,5.800000,5254.80,0.84%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CRDO,G25457105,Credo Technology Group Holding Ltd,52.000000,77.250000,4017.00,0.64%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CSCO,17275R102,Cisco Systems Inc,253.000000,58.350000,14762.55,2.35%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,CVLT,204166102,Commvault Systems Inc,172.000000,170.840000,29384.48,4.67%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,DELL,24703L202,Dell Technologies Inc,116.000000,119.270000,13835.32,2.20%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,DGII,253798102,Digi International Inc,63.000000,33.710000,2123.73,0.34%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,DIOD,254543101,Diodes Inc,64.000000,64.810000,4147.84,0.66%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,EXTR,30226D106,Extreme Networks Inc,121.000000,18.520000,2240.92,0.36%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,546.090000,100.000000,546.09,0.09%,629137.500000,25000,1.000000000000,Y
12/17/2024,AIS,FLEX,Y2573F102,Flex Ltd,87.000000,38.000000,3306.00,0.53%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,GFS,G39387108,GLOBALFOUNDRIES Inc,550.000000,43.930000,24161.50,3.84%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,GLW,219350105,Corning Inc,260.000000,48.180000,12526.80,1.99%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,HPE,42824C109,Hewlett Packard Enterprise Co,173.000000,21.850000,3780.05,0.60%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,INTC,458140100,Intel Corp,910.000000,20.830000,18955.30,3.01%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,JNPR,48203R104,Juniper Networks Inc,76.000000,37.600000,2857.60,0.45%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,LR FP,B11ZRK9,Legrand SA,226.000000,94.860000,22525.20,3.58%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,LSCC,518415104,Lattice Semiconductor Corp,23.000000,63.460000,1459.58,0.23%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,MRVL,573874104,MARVELL TECHNOLOGY INC,199.000000,124.780000,24831.22,3.95%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,MTRS SS,BZ04921,Munters Group AB,778.000000,191.000000,13645.61,2.17%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,MTSI,55405Y100,MACOM Technology Solutions Holdings Inc,24.000000,140.920000,3382.08,0.54%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,MU,595112103,Micron Technology Inc,214.000000,108.260000,23167.64,3.68%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,NTAP,64110D104,NetApp Inc,11.000000,126.100000,1387.10,0.22%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,NVDA,67066G104,NVIDIA Corp,105.000000,132.000000,13860.00,2.20%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,NVTS,63942X106,Navitas Semiconductor Corp,351.000000,3.240000,1137.24,0.18%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,NXT AU,B5LMKP4,NEXTDC Ltd,122.000000,15.220000,1182.90,0.19%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,PANW,697435105,Palo Alto Networks Inc,32.000000,202.500000,6480.00,1.03%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,PENG,G8232Y101,Penguin Solutions Inc,238.000000,19.610000,4667.18,0.74%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,PSTG,74624M102,Pure Storage Inc,22.000000,66.600000,1465.20,0.23%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,RMBS,750917106,Rambus Inc,25.000000,59.140000,1478.50,0.24%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SIMO,82706C108,Silicon Motion Technology Corp,79.000000,60.320000,4765.28,0.76%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SMCI,86800U302,Super Micro Computer Inc,37.000000,33.440000,1237.28,0.20%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SMTC,816850101,Semtech Corp,69.000000,68.270000,4710.63,0.75%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SNX,87162W100,TD SYNNEX Corp,180.000000,124.730000,22451.40,3.57%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,STX,G7997R103,Seagate Technology Holdings PLC,25.000000,95.580000,2389.50,0.38%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SWKS,83088M102,Skyworks Solutions Inc,39.000000,90.760000,3539.64,0.56%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,SYNA,87157D109,Synaptics Inc,254.000000,78.480000,19933.92,3.17%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,TSEM IT,6320605,Tower Semiconductor Ltd,77.000000,183.000000,3926.44,0.62%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,172.000000,202.220000,34781.84,5.53%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,VICR,925815102,Vicor Corp,230.000000,56.560000,13008.80,2.07%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,VRT,92537N108,Vertiv Holdings Co,321.000000,125.970000,40436.37,6.43%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,WCC,95082P105,WESCO International Inc,21.000000,189.550000,3980.55,0.63%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,WDC,958102105,Western Digital Corp,61.000000,65.300000,3983.30,0.63%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,WOLF,977852102,Wolfspeed Inc,525.000000,8.000000,4200.00,0.67%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,ZS,98980G102,Zscaler Inc,19.000000,204.410000,3883.79,0.62%,629137.500000,25000,1.000000000000,
12/17/2024,AIS,Cash&Other,Cash&Other,Cash & Other,-5.750000,1.000000,-5.75,0.00%,629137.500000,25000,1.000000000000,Y
